"var_idx","mp_freq","cd_freq","cl_freq"
1,0.98,0.94,0.88
2,0.96,0.88,0.84
3,0.92,0.9,0.86
4,0.98,1,0.94
5,0.94,0.92,0.9
6,0.96,0.92,0.92
7,0.94,0.98,0.86
8,0.24,0.22,0.3
9,0.3,0.18,0.24
10,0.32,0.22,0.3
11,0.2,0.22,0.14
12,0.28,0.12,0.28
13,0.2,0.16,0.18
14,0.16,0.14,0.22
15,0.28,0.22,0.24
16,0.18,0.26,0.22
17,0.22,0.18,0.24
18,0.22,0.16,0.2
19,0.18,0.12,0.14
20,0.26,0.24,0.22
21,0.16,0.26,0.16
22,0.2,0.16,0.2
23,0.4,0.32,0.34
24,0.24,0.22,0.22
25,0.14,0.16,0.2
26,0.2,0.14,0.28
27,0.24,0.22,0.2
28,0.3,0.22,0.26
29,0.26,0.26,0.28
30,0.26,0.24,0.24
31,0.22,0.2,0.26
32,0.24,0.16,0.2
33,0.18,0.24,0.22
34,0.22,0.2,0.22
35,0.18,0.1,0.24
36,0.32,0.24,0.32
37,0.36,0.18,0.3
38,0.22,0.18,0.24
39,0.36,0.18,0.3
40,0.1,0.08,0.12
41,0.2,0.18,0.22
42,0.24,0.12,0.24
43,0.24,0.24,0.22
44,0.18,0.1,0.16
45,0.26,0.28,0.32
46,0.22,0.22,0.18
47,0.22,0.24,0.2
48,0.2,0.16,0.18
49,0.24,0.18,0.16
50,0.14,0.18,0.2
