"var_idx","mp_freq","cd_freq","cl_freq"
1,0.98,0.96,0.92
2,0.96,0.9,0.84
3,0.92,0.88,0.88
4,0.98,1,0.96
5,0.94,0.9,0.92
6,0.96,0.94,0.94
7,0.94,0.98,0.88
8,0.24,0.22,0.3
9,0.2,0.22,0.26
10,0.32,0.32,0.36
11,0.24,0.28,0.16
12,0.28,0.14,0.28
13,0.2,0.16,0.2
14,0.16,0.12,0.22
15,0.28,0.2,0.28
16,0.2,0.24,0.24
17,0.22,0.16,0.24
18,0.22,0.18,0.2
19,0.18,0.14,0.18
20,0.26,0.22,0.22
21,0.18,0.26,0.16
22,0.22,0.2,0.2
23,0.42,0.32,0.34
24,0.24,0.26,0.22
25,0.16,0.16,0.18
26,0.2,0.18,0.3
27,0.24,0.22,0.2
28,0.26,0.2,0.26
29,0.28,0.28,0.28
30,0.28,0.24,0.24
31,0.22,0.22,0.26
32,0.26,0.16,0.18
33,0.18,0.2,0.22
34,0.24,0.2,0.22
35,0.16,0.1,0.22
36,0.32,0.26,0.34
37,0.36,0.2,0.32
38,0.22,0.18,0.28
39,0.36,0.18,0.32
40,0.1,0.1,0.1
41,0.2,0.18,0.22
42,0.24,0.12,0.24
43,0.28,0.24,0.24
44,0.18,0.12,0.18
45,0.28,0.3,0.3
46,0.22,0.22,0.18
47,0.22,0.26,0.2
48,0.2,0.16,0.16
49,0.22,0.18,0.18
50,0.14,0.18,0.18
