"var_idx","mp_freq","cd_freq","cl_freq"
1,0.86,0.92,0.8
2,0.96,0.9,0.9
3,0.84,0.78,0.78
4,0.96,0.9,0.84
5,0.86,0.8,0.76
6,0.92,0.86,0.84
7,0.96,0.9,0.88
8,0.28,0.16,0.18
9,0.18,0.2,0.08
10,0.16,0.14,0.16
11,0.06,0.1,0.04
12,0.16,0.14,0.06
13,0.12,0.16,0.12
14,0.1,0.06,0.12
15,0.16,0.24,0.1
16,0.22,0.14,0.2
17,0.12,0.16,0.08
18,0.1,0.16,0.1
19,0.22,0.22,0.16
20,0.08,0.1,0.08
21,0.14,0.12,0.1
22,0.14,0.1,0.12
23,0.2,0.12,0.22
24,0.08,0.14,0.06
25,0.08,0.1,0.1
26,0.12,0.08,0.14
27,0.16,0.14,0.16
28,0.1,0.1,0.08
29,0.16,0.24,0.16
30,0.26,0.18,0.16
31,0.22,0.22,0.1
32,0.12,0.16,0.2
33,0.08,0.12,0.08
34,0.08,0.1,0.08
35,0.18,0.12,0.12
36,0.2,0.2,0.12
37,0.16,0.12,0.12
38,0.18,0.26,0.22
39,0.12,0.18,0.1
40,0.16,0.24,0.16
41,0.12,0.16,0.18
42,0.14,0.12,0.1
43,0.16,0.12,0.18
44,0.12,0.18,0.08
45,0.14,0.08,0.12
46,0.1,0.12,0.1
47,0.12,0.16,0.16
48,0.1,0.08,0.08
49,0.16,0.12,0.16
50,0.14,0.14,0.18
51,0.14,0.18,0.16
52,0.1,0.1,0.06
53,0.16,0.16,0.2
54,0.18,0.14,0.12
55,0.18,0.14,0.12
56,0.12,0.14,0.12
57,0.14,0.12,0.1
58,0.22,0.18,0.14
59,0.1,0.08,0.04
60,0.12,0.1,0.06
61,0.08,0.12,0.08
62,0.16,0.18,0.2
63,0.16,0.18,0.14
64,0.1,0.1,0.12
65,0.12,0.1,0.1
66,0.24,0.12,0.16
67,0.2,0.18,0.1
68,0.12,0.1,0.12
69,0.24,0.12,0.18
70,0.26,0.16,0.18
71,0.18,0.12,0.16
72,0.14,0.22,0.06
73,0.2,0.16,0.2
74,0.16,0.12,0.14
75,0.26,0.16,0.22
76,0.12,0.16,0.1
77,0.06,0.12,0.08
78,0.2,0.14,0.16
79,0.18,0.18,0.2
80,0.2,0.18,0.14
81,0.14,0.12,0.06
82,0.18,0.16,0.14
83,0.16,0.16,0.16
84,0.14,0.12,0.16
85,0.18,0.22,0.2
86,0.1,0.12,0.12
87,0.16,0.18,0.16
88,0.12,0.14,0.1
89,0.08,0.1,0.08
90,0.24,0.16,0.16
91,0.16,0.18,0.18
92,0.1,0.18,0.12
93,0.04,0.1,0.08
94,0.12,0.12,0.12
95,0.12,0.16,0.08
96,0.16,0.2,0.18
97,0.1,0.14,0.06
98,0.14,0.14,0.16
99,0.16,0.14,0.1
100,0.12,0.16,0.06
