"var_idx","mp_freq","cd_freq","cl_freq"
1,0.92,0.72,0.78
2,1,0.86,0.88
3,0.9,0.84,0.82
4,0.9,0.78,0.72
5,0.92,0.76,0.8
6,0.9,0.72,0.7
7,0.92,0.78,0.76
8,0.12,0.06,0.14
9,0.1,0.16,0.16
10,0.1,0.16,0.18
11,0.06,0.12,0.08
12,0.02,0.12,0.06
13,0.08,0.08,0.1
14,0.04,0.08,0.06
15,0.08,0.14,0.14
16,0.12,0.1,0.1
17,0.06,0.08,0.1
18,0.06,0.1,0.08
19,0.12,0.16,0.16
20,0.1,0.12,0.16
21,0.18,0.1,0.12
22,0.12,0.14,0.12
23,0.24,0.2,0.2
24,0.02,0.04,0.06
25,0.1,0.14,0.1
26,0.12,0.14,0.1
27,0.14,0.22,0.2
28,0.06,0.12,0.08
29,0.1,0.14,0.14
30,0.2,0.18,0.2
31,0.1,0.16,0.14
32,0.1,0.14,0.1
33,0.08,0.04,0.14
34,0.1,0.1,0.12
35,0.06,0.06,0.1
36,0.06,0.12,0.1
37,0.04,0.08,0.08
38,0.1,0.12,0.08
39,0.1,0.14,0.16
40,0.08,0.14,0.08
41,0.1,0.12,0.08
42,0.12,0.16,0.16
43,0.12,0.1,0.1
44,0.08,0.1,0.12
45,0.04,0.1,0.08
46,0.1,0.14,0.12
47,0.12,0.12,0.14
48,0.1,0.08,0.12
49,0.06,0.14,0.12
50,0.14,0.1,0.16
51,0.08,0.16,0.08
52,0.06,0.12,0.14
53,0.04,0.1,0.1
54,0.26,0.2,0.2
55,0.14,0.18,0.16
56,0.08,0.14,0.06
57,0.14,0.12,0.1
58,0.12,0.06,0.16
59,0.08,0.12,0.1
60,0.08,0.08,0.1
61,0.06,0.12,0.04
62,0.2,0.1,0.16
63,0.18,0.18,0.12
64,0.06,0.06,0.08
65,0.04,0.12,0.06
66,0.14,0.18,0.12
67,0.22,0.26,0.18
68,0.14,0.16,0.1
69,0.16,0.22,0.2
70,0.18,0.22,0.16
71,0.12,0.12,0.12
72,0.1,0.14,0.1
73,0.1,0.1,0.14
74,0.12,0.14,0.14
75,0.08,0.1,0.1
76,0.08,0.18,0.16
77,0.04,0.1,0.08
78,0.1,0.18,0.16
79,0.12,0.12,0.18
80,0.08,0.12,0.08
81,0.1,0.1,0.12
82,0.06,0.16,0.08
83,0.18,0.24,0.18
84,0.06,0.1,0.06
85,0.1,0.14,0.12
86,0.08,0.12,0.1
87,0.18,0.24,0.24
88,0.1,0.14,0.12
89,0.08,0.16,0.1
90,0.14,0.24,0.16
91,0.12,0.1,0.12
92,0.06,0.08,0.16
93,0.02,0.1,0.1
94,0.1,0.2,0.16
95,0.06,0.2,0.1
96,0.1,0.22,0.14
97,0.18,0.26,0.12
98,0.1,0.04,0.06
99,0.04,0.1,0.12
100,0.1,0.02,0.14
