"var_idx","mp_freq","cd_freq","cl_freq"
1,0.88,0.72,0.82
2,0.94,0.66,0.88
3,0.82,0.68,0.8
4,0.94,0.74,0.88
5,0.9,0.74,0.86
6,0.82,0.58,0.78
7,0.8,0.68,0.78
8,0.18,0.12,0.22
9,0.2,0.18,0.22
10,0.28,0.3,0.28
11,0.26,0.2,0.26
12,0.12,0.14,0.16
13,0.16,0.16,0.22
14,0.18,0.12,0.2
15,0.18,0.16,0.18
16,0.24,0.18,0.2
17,0.12,0.14,0.16
18,0.1,0.08,0.14
19,0.28,0.28,0.3
20,0.12,0.18,0.18
21,0.18,0.2,0.14
22,0.16,0.1,0.14
23,0.3,0.26,0.28
24,0.08,0.14,0.12
25,0.14,0.1,0.16
26,0.14,0.2,0.18
27,0.12,0.16,0.18
28,0.16,0.2,0.22
29,0.18,0.2,0.2
30,0.18,0.16,0.14
31,0.12,0.16,0.14
32,0.14,0.18,0.16
33,0.16,0.2,0.14
34,0.2,0.16,0.28
35,0.08,0.14,0.04
36,0.14,0.16,0.18
37,0.16,0.2,0.18
38,0.08,0.16,0.12
39,0.3,0.24,0.36
40,0.16,0.14,0.12
41,0.16,0.12,0.22
42,0.2,0.16,0.22
43,0.1,0.06,0.12
44,0.12,0.1,0.28
45,0.12,0.16,0.14
46,0.14,0.22,0.14
47,0.16,0.18,0.18
48,0.18,0.14,0.18
49,0.1,0.1,0.14
50,0.24,0.14,0.32
