"var_idx","mp_freq","cd_freq","cl_freq"
1,0.88,0.7,0.82
2,0.92,0.68,0.9
3,0.84,0.7,0.8
4,0.94,0.74,0.88
5,0.9,0.74,0.86
6,0.84,0.58,0.8
7,0.8,0.66,0.78
8,0.24,0.16,0.24
9,0.26,0.24,0.16
10,0.26,0.22,0.24
11,0.24,0.2,0.24
12,0.12,0.14,0.14
13,0.18,0.18,0.22
14,0.2,0.12,0.22
15,0.18,0.18,0.2
16,0.26,0.18,0.2
17,0.12,0.14,0.14
18,0.12,0.08,0.14
19,0.26,0.28,0.3
20,0.1,0.22,0.16
21,0.18,0.2,0.14
22,0.16,0.12,0.16
23,0.32,0.26,0.28
24,0.1,0.18,0.12
25,0.1,0.1,0.18
26,0.14,0.22,0.2
27,0.12,0.16,0.18
28,0.18,0.18,0.22
29,0.18,0.24,0.22
30,0.18,0.16,0.14
31,0.12,0.18,0.14
32,0.16,0.18,0.14
33,0.16,0.18,0.14
34,0.2,0.18,0.28
35,0.1,0.12,0.04
36,0.12,0.16,0.16
37,0.16,0.22,0.2
38,0.1,0.16,0.12
39,0.3,0.24,0.36
40,0.16,0.14,0.1
41,0.16,0.14,0.24
42,0.2,0.16,0.22
43,0.1,0.06,0.1
44,0.1,0.1,0.26
45,0.12,0.16,0.14
46,0.14,0.22,0.14
47,0.14,0.16,0.2
48,0.18,0.14,0.18
49,0.12,0.12,0.14
50,0.22,0.16,0.34
