"var_idx","mp_freq","cd_freq","cl_freq"
1,0.68,0.62,0.58
2,0.7,0.62,0.64
3,0.6,0.54,0.54
4,0.72,0.64,0.72
5,0.6,0.56,0.58
6,0.52,0.48,0.56
7,0.7,0.64,0.7
8,0.14,0.06,0.1
9,0.16,0.12,0.14
10,0.14,0.1,0.12
11,0.04,0.08,0.02
12,0.1,0.12,0.12
13,0.08,0.1,0.08
14,0.06,0.08,0.1
15,0.06,0.1,0.04
16,0.12,0.1,0.14
17,0.12,0.08,0.14
18,0.12,0.1,0.06
19,0.16,0.16,0.08
20,0.08,0.06,0.08
21,0.18,0.1,0.14
22,0.1,0.08,0.1
23,0.2,0.1,0.16
24,0.04,0.06,0.04
25,0.06,0.1,0.08
26,0.06,0.04,0.08
27,0.14,0.08,0.1
28,0.1,0.08,0.1
29,0.1,0.1,0.14
30,0.14,0.04,0.14
31,0.12,0.18,0.06
32,0.18,0.18,0.14
33,0.08,0.06,0.08
34,0.08,0.08,0.04
35,0.12,0.08,0.1
36,0.08,0.12,0.1
37,0.06,0.06,0.08
38,0.2,0.12,0.2
39,0.14,0.08,0.1
40,0.12,0.12,0.06
41,0.1,0.06,0.06
42,0.12,0.1,0.12
43,0.06,0.12,0.04
44,0.1,0.1,0.04
45,0.1,0.06,0.08
46,0.1,0.12,0.04
47,0.1,0.08,0.1
48,0.06,0.02,0.08
49,0.14,0.1,0.14
50,0.14,0.08,0.16
51,0.08,0.12,0.1
52,0.1,0.08,0.04
53,0.06,0.1,0.1
54,0.2,0.14,0.14
55,0.06,0.08,0.1
56,0.1,0.12,0.06
57,0.1,0.1,0.08
58,0.14,0.1,0.16
59,0.04,0.06,0.04
60,0.08,0.08,0.04
61,0.06,0.1,0.06
62,0.2,0.18,0.14
63,0.08,0.08,0.08
64,0.06,0.04,0.08
65,0.06,0.04,0.04
66,0.1,0.1,0.08
67,0.08,0.12,0.04
68,0.08,0.04,0.04
69,0.1,0.08,0.1
70,0.1,0.1,0.02
71,0.14,0.12,0.14
72,0.06,0.06,0.02
73,0.16,0.1,0.14
74,0.12,0.12,0.14
75,0.18,0.16,0.16
76,0.08,0.12,0.08
77,0.06,0.06,0.1
78,0.16,0.14,0.08
79,0.08,0.12,0.08
80,0.08,0.08,0.08
81,0.04,0.12,0.06
82,0.1,0.1,0.14
83,0.12,0.14,0.16
84,0.12,0.06,0.1
85,0.18,0.12,0.14
86,0.04,0.04,0.04
87,0.08,0.16,0.08
88,0.08,0.06,0.1
89,0.08,0.12,0.06
90,0.08,0.14,0.08
91,0.06,0.08,0.08
92,0.08,0.08,0.1
93,0.04,0.02,0.06
94,0.1,0.1,0.08
95,0.04,0.06,0.04
96,0.06,0.12,0.12
97,0.04,0.08,0.04
98,0.1,0.12,0.06
99,0.04,0.12,0.08
100,0.04,0.06,0.04
