"var_idx","mp_freq","cd_freq","cl_freq"
1,0.98,0.94,0.9
2,0.98,0.94,0.94
3,0.94,0.88,0.88
4,0.96,0.94,0.96
5,0.98,0.94,0.9
6,0.92,0.9,0.86
7,0.9,0.88,0.8
8,0.38,0.24,0.2
9,0.36,0.18,0.3
10,0.32,0.22,0.22
11,0.18,0.24,0.3
12,0.12,0.14,0.14
13,0.16,0.2,0.28
14,0.06,0.12,0.14
15,0.16,0.14,0.2
16,0.16,0.18,0.2
17,0.12,0.16,0.16
18,0.12,0.12,0.16
19,0.2,0.22,0.3
20,0.12,0.12,0.14
21,0.16,0.22,0.2
22,0.12,0.16,0.22
23,0.2,0.2,0.24
24,0.2,0.28,0.2
25,0.08,0.18,0.14
26,0.18,0.2,0.2
27,0.12,0.16,0.18
28,0.2,0.3,0.22
29,0.16,0.24,0.2
30,0.24,0.24,0.22
31,0.06,0.18,0.14
32,0.12,0.2,0.14
33,0.14,0.22,0.16
34,0.26,0.22,0.28
35,0.12,0.16,0.1
36,0.2,0.22,0.18
37,0.12,0.22,0.22
38,0.16,0.16,0.16
39,0.3,0.38,0.3
40,0.08,0.16,0.12
41,0.14,0.22,0.24
42,0.16,0.18,0.22
43,0.12,0.14,0.06
44,0.14,0.16,0.28
45,0.14,0.26,0.22
46,0.1,0.2,0.2
47,0.16,0.22,0.3
48,0.08,0.16,0.18
49,0.08,0.14,0.16
50,0.18,0.14,0.38
