"var_idx","mp_freq","cd_freq","cl_freq"
1,0.98,0.94,0.92
2,0.98,0.92,0.94
3,0.92,0.9,0.88
4,0.96,0.96,0.98
5,0.98,0.92,0.88
6,0.92,0.9,0.88
7,0.9,0.88,0.78
8,0.18,0.24,0.22
9,0.24,0.2,0.22
10,0.2,0.26,0.28
11,0.18,0.24,0.3
12,0.16,0.14,0.18
13,0.16,0.2,0.26
14,0.12,0.12,0.12
15,0.2,0.12,0.22
16,0.18,0.16,0.24
17,0.1,0.18,0.2
18,0.16,0.12,0.16
19,0.2,0.28,0.32
20,0.12,0.1,0.14
21,0.14,0.22,0.2
22,0.14,0.16,0.24
23,0.2,0.26,0.22
24,0.18,0.26,0.18
25,0.1,0.12,0.14
26,0.16,0.22,0.2
27,0.12,0.18,0.16
28,0.2,0.3,0.2
29,0.16,0.22,0.22
30,0.26,0.24,0.24
31,0.06,0.2,0.16
32,0.1,0.2,0.14
33,0.14,0.2,0.18
34,0.22,0.2,0.28
35,0.14,0.14,0.1
36,0.18,0.2,0.18
37,0.12,0.2,0.2
38,0.18,0.18,0.18
39,0.34,0.38,0.34
40,0.12,0.16,0.1
41,0.16,0.2,0.24
42,0.18,0.18,0.26
43,0.12,0.14,0.08
44,0.18,0.16,0.3
45,0.16,0.26,0.2
46,0.08,0.2,0.2
47,0.2,0.22,0.26
48,0.1,0.14,0.14
49,0.12,0.12,0.12
50,0.22,0.14,0.38
