"var_idx","mp_freq","cd_freq","cl_freq"
1,0.88,0.82,0.88
2,0.9,0.8,0.8
3,0.8,0.68,0.74
4,0.92,0.78,0.88
5,0.92,0.84,0.84
6,0.88,0.82,0.86
7,0.8,0.68,0.76
8,0.2,0.2,0.28
9,0.18,0.1,0.18
10,0.38,0.24,0.36
11,0.16,0.22,0.16
12,0.24,0.2,0.2
13,0.24,0.16,0.3
14,0.18,0.14,0.22
15,0.2,0.2,0.2
16,0.14,0.2,0.16
17,0.18,0.16,0.22
18,0.14,0.08,0.18
19,0.22,0.2,0.32
20,0.12,0.2,0.2
21,0.2,0.14,0.16
22,0.16,0.1,0.18
23,0.24,0.24,0.26
24,0.18,0.1,0.26
25,0.12,0.18,0.18
26,0.28,0.18,0.34
27,0.2,0.18,0.2
28,0.2,0.22,0.28
29,0.24,0.14,0.26
30,0.24,0.18,0.36
31,0.16,0.1,0.28
32,0.14,0.14,0.1
33,0.18,0.18,0.24
34,0.18,0.18,0.22
35,0.16,0.12,0.14
36,0.24,0.18,0.26
37,0.28,0.18,0.26
38,0.18,0.14,0.24
39,0.26,0.16,0.32
40,0.14,0.12,0.14
41,0.2,0.14,0.26
42,0.18,0.16,0.24
43,0.18,0.18,0.24
44,0.2,0.18,0.26
45,0.24,0.24,0.26
46,0.16,0.16,0.14
47,0.16,0.14,0.22
48,0.2,0.1,0.2
49,0.2,0.12,0.18
50,0.22,0.16,0.26
